hybrid_1_permu_bary,hybrid_1_sift_bary,hybrid_2_cutoff_0,hybrid_2_cutoff_1,hybrid_2_cutoff_2,hybrid_2_cutoff_3,hybrid_2_cutoff_4,hybrid_2_cutoff_5,hybrid_2_cutoff_6,hybrid_2_cutoff_7,hybrid_2_cutoff_8,hybrid_2_cutoff_9
75.55555555555556,75.55555555555556,61.111111111111114,61.111111111111114,64.44444444444444,71.11111111111111,72.22222222222223,77.77777777777777,74.44444444444444,76.66666666666667,76.66666666666667,81.11111111111111
72.82608695652173,72.82608695652173,60.869565217391305,63.04347826086956,69.56521739130434,67.3913043478261,64.1304347826087,66.30434782608695,70.65217391304348,72.82608695652173,71.73913043478261,72.82608695652173
82.72727272727273,82.72727272727273,72.72727272727273,75.45454545454545,76.36363636363636,76.36363636363636,78.18181818181819,78.18181818181819,78.18181818181819,80.0,80.9090909090909,81.81818181818181
67.85714285714286,67.85714285714286,59.523809523809526,60.714285714285715,60.714285714285715,64.28571428571429,63.095238095238095,69.04761904761905,69.04761904761905,63.095238095238095,64.28571428571429,65.47619047619048
70.96774193548387,70.96774193548387,68.81720430107526,68.81720430107526,69.89247311827957,76.34408602150538,70.96774193548387,78.49462365591398,76.34408602150538,77.41935483870968,76.34408602150538,76.34408602150538
72.36842105263158,72.36842105263158,56.578947368421055,59.21052631578947,61.8421052631579,67.10526315789474,68.42105263157895,71.05263157894737,72.36842105263158,77.63157894736842,81.57894736842105,81.57894736842105
60.810810810810814,52.7027027027027,55.4054054054054,62.16216216216216,55.4054054054054,59.45945945945946,59.45945945945946,72.97297297297297,77.02702702702703,72.97297297297297,81.08108108108108,82.43243243243244
74.46808510638297,74.46808510638297,56.38297872340426,61.702127659574465,61.702127659574465,62.765957446808514,65.95744680851064,70.2127659574468,70.2127659574468,71.27659574468085,73.40425531914893,74.46808510638297
56.41025641025641,56.41025641025641,57.69230769230769,48.717948717948715,57.69230769230769,58.97435897435897,51.282051282051285,60.256410256410255,58.97435897435897,58.97435897435897,57.69230769230769,56.41025641025641
59.78260869565217,59.78260869565217,60.869565217391305,64.1304347826087,67.3913043478261,70.65217391304348,68.47826086956522,72.82608695652173,72.82608695652173,78.26086956521739,78.26086956521739,78.26086956521739
70.65217391304348,70.65217391304348,64.1304347826087,75.0,69.56521739130434,71.73913043478261,77.17391304347827,77.17391304347827,78.26086956521739,79.34782608695652,82.6086956521739,80.43478260869566
59.770114942528735,62.06896551724138,56.32183908045977,62.06896551724138,62.06896551724138,65.51724137931035,65.51724137931035,79.3103448275862,83.9080459770115,87.35632183908046,88.50574712643679,88.50574712643679
59.0,54.0,68.0,71.0,69.0,77.0,79.0,81.0,75.0,81.0,82.0,80.0
58.333333333333336,58.333333333333336,66.66666666666667,69.04761904761905,67.85714285714286,63.095238095238095,65.47619047619048,71.42857142857143,70.23809523809524,71.42857142857143,70.23809523809524,72.61904761904762
75.0,75.0,67.0,71.0,70.0,74.0,82.0,79.0,75.0,80.0,80.0,87.0
68.91891891891892,72.97297297297297,44.5945945945946,51.351351351351354,62.16216216216216,59.45945945945946,60.810810810810814,71.62162162162163,74.32432432432432,75.67567567567568,72.97297297297297,78.37837837837837
56.52173913043478,56.52173913043478,60.869565217391305,61.95652173913044,59.78260869565217,65.21739130434783,64.1304347826087,60.869565217391305,68.47826086956522,68.47826086956522,69.56521739130434,71.73913043478261
60.0,52.5,58.75,68.75,68.75,71.25,68.75,72.5,80.0,83.75,80.0,86.25
73.03370786516854,68.53932584269663,61.79775280898876,65.1685393258427,66.29213483146067,68.53932584269663,75.28089887640449,74.15730337078652,69.66292134831461,76.40449438202248,71.91011235955057,79.7752808988764
61.904761904761905,66.66666666666667,63.095238095238095,70.23809523809524,71.42857142857143,63.095238095238095,63.095238095238095,65.47619047619048,71.42857142857143,72.61904761904762,76.19047619047619,77.38095238095238
72.72727272727273,68.83116883116882,67.53246753246754,67.53246753246754,67.53246753246754,68.83116883116882,66.23376623376623,68.83116883116882,62.33766233766234,70.12987012987013,74.02597402597402,77.92207792207792
51.724137931034484,51.724137931034484,65.51724137931035,65.51724137931035,59.770114942528735,67.816091954023,65.51724137931035,66.66666666666667,65.51724137931035,75.86206896551724,72.41379310344827,71.26436781609195
74.07407407407408,74.07407407407408,73.14814814814815,75.92592592592592,74.07407407407408,79.62962962962963,80.55555555555556,80.55555555555556,75.0,82.4074074074074,82.4074074074074,86.11111111111111
71.08433734939759,71.08433734939759,56.626506024096386,59.036144578313255,68.67469879518072,71.08433734939759,71.08433734939759,71.08433734939759,77.10843373493977,75.90361445783132,73.49397590361446,81.92771084337349
54.285714285714285,54.285714285714285,45.714285714285715,45.714285714285715,47.142857142857146,51.42857142857143,51.42857142857143,60.0,58.57142857142857,71.42857142857143,71.42857142857143,70.0
63.888888888888886,68.51851851851852,63.888888888888886,67.5925925925926,74.07407407407408,74.07407407407408,76.85185185185185,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333,83.33333333333333
79.76190476190476,79.76190476190476,58.333333333333336,70.23809523809524,57.142857142857146,70.23809523809524,70.23809523809524,73.80952380952381,73.80952380952381,78.57142857142857,79.76190476190476,82.14285714285714
62.33766233766234,62.33766233766234,62.33766233766234,62.33766233766234,68.83116883116882,71.42857142857143,66.23376623376623,66.23376623376623,67.53246753246754,74.02597402597402,72.72727272727273,72.72727272727273
60.0,60.0,56.8421052631579,58.94736842105263,63.1578947368421,64.21052631578948,63.1578947368421,63.1578947368421,67.36842105263158,70.52631578947368,76.84210526315789,76.84210526315789
53.333333333333336,53.333333333333336,40.0,58.666666666666664,56.0,64.0,56.0,56.0,65.33333333333333,68.0,64.0,61.333333333333336
51.470588235294116,41.1764705882353,48.529411764705884,51.470588235294116,51.470588235294116,57.35294117647059,60.294117647058826,52.94117647058823,55.88235294117647,63.23529411764706,60.294117647058826,70.58823529411765
75.0,75.0,69.0,72.0,73.0,75.0,75.0,82.0,82.0,82.0,81.0,81.0
68.35443037974683,67.0886075949367,49.36708860759494,63.29113924050633,64.55696202531645,69.62025316455696,70.88607594936708,70.88607594936708,69.62025316455696,70.88607594936708,65.82278481012658,65.82278481012658
70.32967032967034,70.32967032967034,54.94505494505494,56.043956043956044,64.83516483516483,62.637362637362635,62.637362637362635,63.73626373626374,60.43956043956044,76.92307692307692,79.12087912087912,81.31868131868131
78.57142857142857,78.57142857142857,61.224489795918366,64.28571428571429,64.28571428571429,64.28571428571429,60.204081632653065,60.204081632653065,72.44897959183673,73.46938775510205,76.53061224489795,80.61224489795919
68.04123711340206,70.10309278350516,57.7319587628866,59.79381443298969,70.10309278350516,70.10309278350516,65.97938144329896,65.97938144329896,68.04123711340206,70.10309278350516,69.0721649484536,78.35051546391753
75.25773195876289,69.0721649484536,62.88659793814433,62.88659793814433,62.88659793814433,62.88659793814433,58.76288659793814,59.79381443298969,69.0721649484536,79.38144329896907,77.31958762886597,80.41237113402062
71.0,71.0,65.0,65.0,65.0,67.0,67.0,65.0,75.0,82.0,82.0,79.0
64.58333333333333,64.58333333333333,62.5,63.541666666666664,61.458333333333336,66.66666666666667,62.5,68.75,68.75,69.79166666666667,68.75,75.0
74.46808510638297,63.829787234042556,77.65957446808511,78.72340425531915,79.7872340425532,80.85106382978724,80.85106382978724,82.97872340425532,79.7872340425532,79.7872340425532,79.7872340425532,80.85106382978724
61.25,62.5,62.5,70.0,70.0,70.0,65.0,70.0,78.75,78.75,78.75,81.25
60.24096385542169,71.08433734939759,57.83132530120482,60.24096385542169,63.855421686746986,69.87951807228916,71.08433734939759,73.49397590361446,77.10843373493977,73.49397590361446,78.3132530120482,78.3132530120482
68.42105263157895,68.42105263157895,51.31578947368421,55.26315789473684,55.26315789473684,68.42105263157895,72.36842105263158,76.3157894736842,80.26315789473684,78.94736842105263,76.3157894736842,80.26315789473684
64.0625,65.625,54.6875,46.875,50.0,48.4375,54.6875,62.5,62.5,68.75,71.875,76.5625
